Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1983,18,28049679.04,4408.307132,4408.307132,LA,LOUISIANA
1983,19,540564.6906,90.12777838,90.12777787,ME,MAINE
1983,20,11974088.24,2092.445004,2092.445004,MD,MARYLAND
1983,21,538118.386,130.8070668,130.8070668,MA,MASSACHUSETTS
1983,22,54979903.44,9544.484034,9517.158748,MI,MICHIGAN
1983,23,91402826.28,34647.10759,33887.7417,MN,MINNESOTA
1983,24,25987119.5,4411.438242,4278.454471,MS,MISSISSIPPI
1983,25,67039406.85,25608.49236,24835.82755,MO,MISSOURI
1983,26,0,0,0,MT,MONTANA
1983,27,13122238.55,14181.20577,12313.38702,NE,NEBRASKA
1983,28,0,0,0,NV,NEVADA
1983,29,330166.0842,63.14552521,63.14552521,NH,NEW HAMPSHIRE
1983,30,3841151.961,568.1160156,568.1160156,NJ,NEW JERSEY
1983,31,325.5751203,77.02570976,1.991388603,NM,NEW MEXICO
1983,32,13995776.45,2151.352649,2120.160599,NY,NEW YORK
1983,33,9644437.893,5221.755463,5146.015936,NC,NORTH CAROLINA
1983,34,8082068.968,10636.49303,7382.884735,ND,NORTH DAKOTA
1983,35,57584897.2,21924.75433,21908.1403,OH,OHIO
1983,36,2337521.166,1976.948948,1419.688801,OK,OKLAHOMA
1983,37,0,0,0,OR,OREGON
1983,38,20922270.14,3125.6736,3090.684613,PA,PENNSYLVANIA
1983,39,0,0,0,RI,RHODE ISLAND
1983,40,8174420.231,2536.255876,2533.994535,SC,SOUTH CAROLINA
1983,41,19994655.33,27573.10946,20045.12579,SD,SOUTH DAKOTA
1983,42,37306124.53,5667.944282,4875.387081,TN,TENNESSEE
1983,43,4617885.667,2068.212504,1551.418095,TX,TEXAS
1983,44,0,0,0,UT,UTAH
1983,45,2004084.09,279.2818719,279.2818719,VT,VERMONT
1983,46,11563806.01,2639.22649,2623.558822,VA,VIRGINIA
1983,47,0,0,0,WA,WASHINGTON
1983,48,5673244.725,598.7707964,598.7707964,WV,WEST VIRGINIA
1983,49,34047605.92,7352.521454,7352.521454,WI,WISCONSIN
1983,50,0,0,0,WY,WYOMING
1984,0,12310804.46,1492.979592,1492.979592,AL,ALABAMA
1984,2,0,0,0,AZ,ARIZONA
1984,3,8146941.803,2721.083684,2401.114781,AR,ARKANSAS
1984,4,0,0,0,CA,CALIFORNIA
1984,5,31625.66133,308.123271,98.66527894,CO,COLORADO
1984,6,186671.6776,22.74239321,22.74239321,CT,CONNECTICUT
1984,7,3193588.984,774.1214386,774.1214386,DE,DELAWARE
1984,8,4202.397923,0.706040708,0.706040708,DC,DISTRICT OF COLUMBIA
1984,9,637712.448,80.87434956,80.87434956,FL,FLORIDA
1984,10,9865883.481,1173.277774,1173.277774,GA,GEORGIA
1984,12,0,0,0,ID,IDAHO
1984,13,197214984.4,47117.83062,44376.22956,IL,ILLINOIS
1984,14,115303259.5,27150.48486,27150.48486,IN,INDIANA
1984,15,35883235.97,53149.1922,46649.8643,IA,IOWA
1984,16,2463947.309,14620.30883,5431.947192,KS,KANSAS
1984,17,66234153.05,7638.894831,7636.759216,KY,KENTUCKY
1984,18,15641566.81,4546.937074,4538.854588,LA,LOUISIANA
1984,19,686390.9555,89.09634171,89.09634171,ME,MAINE
1984,20,11094334.12,2129.287695,2129.287695,MD,MARYLAND
1984,21,1105001.841,128.4097957,128.4097957,MA,MASSACHUSETTS
1984,22,34213427.51,10017.62171,10017.62171,MI,MICHIGAN
1984,23,29089236.4,35631.01261,30264.0855,MN,MINNESOTA
1984,24,24250941.81,4617.724382,4617.724382,MS,MISSISSIPPI
1984,25,88709068.54,27035.55936,26156.10342,MO,MISSOURI
1984,26,0,0,0,MT,MONTANA
1984,27,6898227.276,13718.3597,10149.61975,NE,NEBRASKA
