Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1982,22,44158288.73190797,2646.572035272207,2646.572035272207,MI,MICHIGAN
1982,23,41948734.36033207,14156.242677287273,11369.540962894398,MN,MINNESOTA
1982,24,20164118.145392448,2119.160185440031,2069.1147687000807,MS,MISSISSIPPI
1982,25,100322608.26819456,7155.094217069888,7155.094217069888,MO,MISSOURI
1982,26,101629155.28414148,35415.61222147991,16691.599544364162,MT,MONTANA
1982,27,76446818.43576713,11108.644147379233,10183.564236992755,NE,NEBRASKA
1982,28,5590.027664870029,240.0580931427721,8.094865452596146,NV,NEVADA
1982,29,0.0,0.0,0.0,NH,NEW HAMPSHIRE
1982,30,2734394.4816395296,185.819371655737,185.819371655737,NJ,NEW JERSEY
1982,31,2434678.105624697,913.6103152095473,869.3441013279908,NM,NEW MEXICO
