ID,State,Commodity,Cause of Loss,Payment Indemnity,Payment Acreage,Year
30,Maryland,Corn,Drought,3157.0,269.7,1990
47,Louisiana,Corn,Drought,59356.8,1683.46,1990
17,Pennsylvania,Corn,Drought,30630.5,680.225,1990
34,Virginia,Corn,Drought,301945.4,6540.0268,1990
1,Washington,Corn,Drought,0.0,0.0,1990
3,Maine,Corn,Drought,0.0,0.0,1990
6,Wyoming,Corn,Drought,0.0,0.0,1990
8,Idaho,Corn,Drought,0.0,0.0,1990
9,Vermont,Corn,Drought,0.0,0.0,1990
11,Oregon,Corn,Drought,0.0,0.0,1990
12,New Hampshire,Corn,Drought,0.0,0.0,1990
14,Massachusetts,Corn,Drought,0.0,0.0,1990
18,Connecticut,Corn,Drought,0.0,0.0,1990
19,Rhode Island,Corn,Drought,0.0,0.0,1990
20,New Jersey,Corn,Drought,0.0,0.0,1990
22,Nevada,Corn,Drought,0.0,0.0,1990
23,Utah,Corn,Drought,0.0,0.0,1990
24,California,Corn,Drought,0.0,0.0,1990
29,West Virginia,Corn,Drought,0.0,0.0,1990
36,Arizona,Corn,Drought,0.0,0.0,1990
41,New Mexico,Corn,Drought,0.0,0.0,1990
21,Indiana,Corn,Drought,20173727.23,324192.341825,1991
37,Oklahoma,Corn,Drought,36145.0,801.8161,1991
38,North Carolina,Corn,Drought,459041.9,9811.00659,1991
5,South Dakota,Corn,Drought,8221522.84,203755.291059,1991
43,Mississippi,Corn,Drought,28110.0,422.7,1991
26,Illinois,Corn,Drought,48131068.4,799520.0124,1991
2,Montana,Corn,Drought,684.0,17.415,1991
15,Nebraska,Corn,Drought,3524167.42,98584.252945,1991
33,Kansas,Corn,Drought,3955721.6,80918.08505,1991
10,Minnesota,Corn,Drought,556775.51,15926.735814,1991
28,Delaware,Corn,Drought,4867.0,303.3,1991
16,New York,Corn,Drought,46951.2,1131.24,1991
44,Georgia,Corn,Drought,7838.5,139.79,1991
7,Wisconsin,Corn,Drought,1425177.83,31465.8096,1991
42,Alabama,Corn,Drought,10717.0,382.05,1991
13,Iowa,Corn,Drought,18550198.01,363148.05774,1991
25,Ohio,Corn,Drought,8187220.13,151079.1399,1991
49,Michigan,Corn,Drought,227074.42,4317.354275,1991
40,Texas,Corn,Drought,6260368.07,80485.67817,1991
31,Colorado,Corn,Drought,8011.7,443.406815,1991
35,Missouri,Corn,Drought,1963065.9,41628.6958,1991
32,Kentucky,Corn,Drought,1064987.4,22426.151,1991
45,South Carolina,Corn,Drought,28859.0,778.82,1991
4,North Dakota,Corn,Drought,3288064.83,110322.61651,1991
39,Tennessee,Corn,Drought,118538.3,2237.7046,1991
48,Florida,Corn,Drought,1085.7,52.22,1991
30,Maryland,Corn,Drought,46633.0,1535.925,1991
47,Louisiana,Corn,Drought,3234.8,103.575,1991
17,Pennsylvania,Corn,Drought,1379167.75,18075.4495,1991
34,Virginia,Corn,Drought,298604.05,6934.091,1991
1,Washington,Corn,Drought,0.0,0.0,1991
3,Maine,Corn,Drought,0.0,0.0,1991
6,Wyoming,Corn,Drought,0.0,0.0,1991
8,Idaho,Corn,Drought,0.0,0.0,1991
9,Vermont,Corn,Drought,0.0,0.0,1991
11,Oregon,Corn,Drought,0.0,0.0,1991
12,New Hampshire,Corn,Drought,0.0,0.0,1991
14,Massachusetts,Corn,Drought,0.0,0.0,1991
18,Connecticut,Corn,Drought,0.0,0.0,1991
19,Rhode Island,Corn,Drought,0.0,0.0,1991
20,New Jersey,Corn,Drought,0.0,0.0,1991
22,Nevada,Corn,Drought,0.0,0.0,1991
23,Utah,Corn,Drought,0.0,0.0,1991
24,California,Corn,Drought,0.0,0.0,1991
29,West Virginia,Corn,Drought,0.0,0.0,1991
36,Arizona,Corn,Drought,0.0,0.0,1991
41,New Mexico,Corn,Drought,0.0,0.0,1991
46,Arkansas,Corn,Drought,0.0,0.0,1991
21,Indiana,Corn,Drought,188275.4,4126.01981,1992
46,Arkansas,Corn,Drought,2531.0,120.0,1992
38,North Carolina,Corn,Drought,722075.45,14253.56872,1992
5,South Dakota,Corn,Drought,361256.06,11630.46464,1992
43,Mississippi,Corn,Drought,155293.6,3874.021,1992
26,Illinois,Corn,Drought,2081489.79,45283.71643,1992
2,Montana,Corn,Drought,459.0,27.72,1992
15,Nebraska,Corn,Drought,42598.55,2603.987,1992
33,Kansas,Corn,Drought,32831.65,1750.3837,1992
10,Minnesota,Corn,Drought,821628.0,12675.64088,1992
28,Delaware,Corn,Drought,46924.0,1372.367,1992
44,Georgia,Corn,Drought,142728.7,3167.89,1992
7,Wisconsin,Corn,Drought,3057193.29,45063.48216,1992
42,Alabama,Corn,Drought,94492.4,2408.48,1992
13,Iowa,Corn,Drought,4412649.89,87724.62932,1992
25,Ohio,Corn,Drought,43309.05,564.02,1992
49,Michigan,Corn,Drought,478950.32,5360.7532,1992
40,Texas,Corn,Drought,157072.95,3351.30072,1992
35,Missouri,Corn,Drought,342254.45,11313.30774,1992
32,Kentucky,Corn,Drought,2845.1,622.4486,1992
45,South Carolina,Corn,Drought,123211.0,2454.45,1992
4,North Dakota,Corn,Drought,1794597.99,50364.062464,1992
39,Tennessee,Corn,Drought,61669.6,1355.645,1992
48,Florida,Corn,Drought,14723.6,454.22,1992
30,Maryland,Corn,Drought,126313.0,2572.131,1992
47,Louisiana,Corn,Drought,316259.4,7710.715,1992
17,Pennsylvania,Corn,Drought,4941.8,141.88,1992
34,Virginia,Corn,Drought,74386.3,1693.01,1992
1,Washington,Corn,Drought,0.0,0.0,1992
3,Maine,Corn,Drought,0.0,0.0,1992
6,Wyoming,Corn,Drought,0.0,0.0,1992
8,Idaho,Corn,Drought,0.0,0.0,1992
