Year,Units,scenario,region,sector,value
1983,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1984,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1985,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1986,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1987,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1988,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1989,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1990,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1991,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1992,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1993,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1994,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1995,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1996,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1997,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1998,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1999,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2000,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2001,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2002,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2003,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2004,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2005,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2006,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2007,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2008,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2009,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2010,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2011,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2012,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2013,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2014,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2015,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
2016,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1319612
2017,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.13102239999999998
2018,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1300836
2019,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.12914479999999998
2020,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.128206
2021,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.128105
2022,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.128004
2023,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.127903
2024,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.127802
2025,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.127701
2026,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.129297
2027,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.130893
2028,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.132489
